#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 0 0.075000 0.100000 0.068000 
0 6 0.075000 0.100000 0.068000 
0 9 0.075000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 0 0.080000 0.100000 0.068000 
1 6 0.080000 0.100000 0.068000 
1 9 0.080000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 0 0.085000 0.100000 0.069000 
2 3 0.085000 0.100000 0.127000 
2 6 0.085000 0.100000 0.069000 
2 9 0.085000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 0 0.090000 0.100000 0.069000 
3 3 0.090000 0.100000 0.124000 
3 6 0.090000 0.100000 0.069000 
3 9 0.090000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 0 0.095000 0.100000 0.069000 
4 3 0.095000 0.100000 0.122000 
4 6 0.095000 0.100000 0.069000 
4 9 0.095000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 0 0.100000 0.100000 0.069000 
5 3 0.100000 0.100000 0.121000 
5 6 0.100000 0.100000 0.069000 
5 9 0.100000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 0 0.105000 0.100000 0.069000 
6 3 0.105000 0.100000 0.121000 
6 6 0.105000 0.100000 0.069000 
6 9 0.105000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 0 0.110000 0.100000 0.069000 
7 3 0.110000 0.100000 0.122000 
7 6 0.110000 0.100000 0.069000 
7 9 0.110000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 0 0.115000 0.100000 0.069000 
8 3 0.115000 0.100000 0.123000 
8 6 0.115000 0.100000 0.069000 
8 9 0.115000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 0 0.120000 0.100000 0.069000 
9 3 0.120000 0.100000 0.125000 
9 6 0.120000 0.100000 0.069000 
9 9 0.120000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 0 0.125000 0.100000 0.068000 
10 6 0.125000 0.100000 0.068000 
10 9 0.125000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 0 0.130000 0.100000 0.068000 
11 6 0.130000 0.100000 0.068000 
11 9 0.130000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 0 0.075000 0.100000 0.068000 
0 6 0.075000 0.100000 0.068000 
0 9 0.075000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 0 0.080000 0.100000 0.068000 
1 6 0.080000 0.100000 0.068000 
1 9 0.080000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 0 0.085000 0.100000 0.069000 
2 3 0.085000 0.100000 0.127000 
2 6 0.085000 0.100000 0.069000 
2 9 0.085000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 0 0.090000 0.100000 0.069000 
3 3 0.090000 0.100000 0.124000 
3 6 0.090000 0.100000 0.069000 
3 9 0.090000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 0 0.095000 0.100000 0.069000 
4 3 0.095000 0.100000 0.122000 
4 6 0.095000 0.100000 0.069000 
4 9 0.095000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 0 0.100000 0.100000 0.069000 
5 3 0.100000 0.100000 0.121000 
5 6 0.100000 0.100000 0.069000 
5 9 0.100000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 0 0.105000 0.100000 0.069000 
6 3 0.105000 0.100000 0.121000 
6 6 0.105000 0.100000 0.069000 
6 9 0.105000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 0 0.110000 0.100000 0.069000 
7 3 0.110000 0.100000 0.122000 
7 6 0.110000 0.100000 0.069000 
7 9 0.110000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 0 0.115000 0.100000 0.069000 
8 3 0.115000 0.100000 0.123000 
8 6 0.115000 0.100000 0.069000 
8 9 0.115000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 0 0.120000 0.100000 0.069000 
9 3 0.120000 0.100000 0.125000 
9 6 0.120000 0.100000 0.069000 
9 9 0.120000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 0 0.125000 0.100000 0.068000 
10 6 0.125000 0.100000 0.068000 
10 9 0.125000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 0 0.130000 0.100000 0.068000 
11 6 0.130000 0.100000 0.068000 
11 9 0.130000 0.100000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 0 0.075000 1.595000 0.061000 
0 6 0.075000 1.595000 0.061000 
0 9 0.075000 1.595000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 0 0.080000 1.595000 0.061000 
1 6 0.080000 1.595000 0.061000 
1 9 0.080000 1.595000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 0 0.085000 1.595000 0.061000 
2 6 0.085000 1.595000 0.061000 
2 9 0.085000 1.595000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 0 0.090000 1.595000 0.061000 
3 3 0.090000 1.595000 0.003000 
3 6 0.090000 1.595000 0.061000 
3 9 0.090000 1.595000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 0 0.095000 1.595000 0.061000 
4 3 0.095000 1.595000 0.003000 
4 6 0.095000 1.595000 0.061000 
4 9 0.095000 1.595000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 0 0.100000 1.595000 0.061000 
5 3 0.100000 1.595000 0.003000 
5 6 0.100000 1.595000 0.061000 
