#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 0 0.075000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 0 0.080000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 0 0.085000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 0 0.090000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 0 0.095000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 0 0.100000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 0 0.105000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 0 0.110000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 0 0.115000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 0 0.120000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 0 0.125000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 0 0.130000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 0 0.075000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 0 0.080000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 0 0.085000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 0 0.090000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 0 0.095000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 0 0.100000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 0 0.105000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 0 0.110000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 0 0.115000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 0 0.120000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 0 0.125000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 0 0.130000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 0 0.075000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 0 0.080000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 0 0.085000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 0 0.090000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 0 0.095000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 0 0.100000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 0 0.105000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 0 0.110000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 0 0.115000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 0 0.120000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 0 0.125000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 0 0.130000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
12 0 0.075000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
13 0 0.080000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
14 0 0.085000 1.590000 0.062000 
