#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 3 0.085000 0.100000 0.127000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 3 0.090000 0.100000 0.124000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 3 0.095000 0.100000 0.122000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 3 0.100000 0.100000 0.121000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 3 0.105000 0.100000 0.121000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 3 0.110000 0.100000 0.122000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 3 0.115000 0.100000 0.123000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 3 0.120000 0.100000 0.125000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 3 0.085000 0.100000 0.127000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 3 0.090000 0.100000 0.124000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 3 0.095000 0.100000 0.122000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 3 0.100000 0.100000 0.121000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 3 0.105000 0.100000 0.121000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 3 0.110000 0.100000 0.122000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 3 0.115000 0.100000 0.123000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 3 0.120000 0.100000 0.125000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 3 0.090000 1.595000 0.003000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 3 0.095000 1.595000 0.003000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 3 0.100000 1.595000 0.003000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 3 0.105000 1.595000 0.003000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 3 0.110000 1.595000 0.003000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 3 0.115000 1.595000 0.003000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
14 3 0.085000 1.590000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
15 3 0.090000 1.590000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
16 3 0.095000 1.590000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
17 3 0.100000 1.590000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
18 3 0.105000 1.590000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
19 3 0.110000 1.590000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
20 3 0.115000 1.590000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
21 3 0.120000 1.590000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
26 3 0.085000 1.585000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
27 3 0.090000 1.585000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
28 3 0.095000 1.585000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
29 3 0.100000 1.585000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
30 3 0.105000 1.585000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
31 3 0.110000 1.585000 0.002000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
